query (Chinese),apec,dna病毒,g20峰会,g7峰会,g8峰会,h1n1,h3n2,m1病毒,奥司他韦,奥运会,八国集团峰会,暴恐,爆发,爆炸事件,冰灾,博鳌亚洲论坛,博览园,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,打砸抢,地震,地质灾害,冬奥会,对华战争,发热,反恐,房地产,飞机冲出跑道,飞机坠落,感冒,感染,股价指数,关税,冠状病毒,国际会议,国际恐怖主义,海啸,黑死病,洪水灾害,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,劫机,金融风暴,金融危机,金砖国家峰会,金砖会议,进博会,禁韩令,经济危机,军团菌肺炎,恐怖袭击,恐怖主义,恐怖组织,联合国大会,流感病毒,流感疫苗,流感症状,流行病毒,绿博会,麻疹,贸易,贸易赤字,贸易战,孟晚舟,男篮世界杯,欧债危机,气象灾害,枪击,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,森林大火,失业,世界杯,世界博览会,世锦赛,世园会,手足口病,死亡人数,特大暴雨,体育赛事,突变,瘟疫,袭击,限韩令,腺病毒,雪崩,雪灾,亚运会,亚洲杯,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射,坠机事件,自然灾害,足球世界杯
query (English),apec,DNA virus,G20 summit,G7 Summit,G8 summit,h1n1,h3n2,M1 virus,Oseltamivir,Olympic Games,G8 summit ,Violent fear,burst,Explosion,Ice disaster,Boao Forum for Asia,Expo Park,excess production capacity,North Korea nuclear issue,Infectious Diseases,subprime crisis ,Subprime loans,Smash and rob,earthquake,geologic hazard ,Winter Olympics,The war against China,fever,counter-terrorism,real estate,The plane dashed off the runway,Plane crash,cold,Infected,Stock index,tariff,coronavirus,international conference ,international terrorism,tsunami,Black Death,Flood disaster,respirator,Huawei,Volcano eruption,currency devaluation,Currency crisis,poliomyelitis,Hijacking,financial crisis ,financial crisis,BRICs Summit,BRICs Conference,Entering the Expo,Ban on Korea,economic crisis,legionaires disease ,terrorist attack,terrorism,Terrorist organizations,United Nations General Assembly,influenza virus,influenza vaccine,Flu symptoms,Epidemic virus,Green Expo,measles,Trade,trade deficit,trade war,Meng Wanzhou,Men's Basketball World Cup,European debt crisis,meteorological disaster ,Shooting,Avian influenza virus,Enclosure movement,Global stock market crash,Global financial crisis,RMB,Sade deployment,Thad incident,forest fire,Unemployment,World Cup,world 's fair,world championship,World Horticultural Exposition,Hand foot mouth disease,death toll,Torrential rain,Sports events,mutation,plague,a surprise attack,South Korea restriction order,adenovirus,avalanche,snowstorm,asian games,Asian Cup,medicine,hepatitis B virus,Vaccination,parade,debt,debt crisis ,Occupy Wall Street,Sino US relations,China EU Relations,Sino Japanese Relations,Sino Indian Relations,swine flu,injection,air crash ,natural disaster,Football World Cup
2017-Jun,38888,8283,72618,6953,3396,25627,1705,374,21849,54207,61,5016,9961,7452,1808,25305,1123,11523,9060,33280,26623,7014,3667,177451,14689,34576,2139,25801,12861,125061,303,3346,101756,26207,3982,20593,14987,7318,3230,58665,41828,4231,7043,2110908,32661,6650,4844,20670,4564,7835,68202,6468,59194,0,19606,21734,5044,42254,14497,14162,6356,10006,10510,16577,3410,2670,59637,23398,6523,0,36324,7020,8782,9061,5434,7812,15207,0,4913,281671,6179,56652,4454,13441,185501,5561,20688,8637,601782,3241,26499,10119,6783,39873,9764,36483,16699,10201,4896,27155,24401,16059,23425,7938,9690,11701,6117,6357,32208,3982,20644,9482,7832,10846,4055,19262,10501
2017-Jul,29503,8036,143372,4791,3362,34499,6786,488,29171,54390,66,4911,8815,4017,1619,20612,1245,9481,5078,26947,20975,6304,3804,221909,11776,36387,1446,26867,18534,142608,545,4155,121930,22336,2083,17068,14116,6317,1033,64462,40343,4997,7375,2052700,34029,6127,2967,17459,5290,7857,54896,6683,98475,0,18574,16393,5493,21954,8371,11563,5567,12240,11488,27068,3740,3724,50040,21201,4718,0,28894,7339,6327,8103,5234,5808,10652,0,4479,268381,5036,41369,4607,11488,66205,4733,65709,8686,509716,2861,33464,9529,6128,37629,7831,29988,17451,10063,5103,27175,18536,15300,22586,7908,8167,10944,5585,5867,16245,2791,19115,43390,7716,7507,5161,16817,7690
2017-Aug,30785,9656,46569,3923,2964,35843,16425,2065,28472,54551,179,4822,8180,2817,2946,20084,1133,9905,5744,26038,20950,5997,3805,1970663,11607,43139,1225,26137,24260,131493,485,3376,140126,21285,2230,17812,12917,6450,849,85417,43883,2837,7426,1798516,35343,6627,2889,18297,5381,7499,52414,13991,574393,0,18931,16182,5257,30720,8623,13060,6028,13345,23786,47733,3448,5830,44106,20467,4875,0,32162,12924,6243,7377,5132,5393,10700,177,4127,302801,4891,36520,4447,11588,123495,4819,63342,10048,318627,3747,20578,10039,5949,24412,7280,29239,19048,10315,4786,37887,98976,16323,25762,9736,8591,10441,5051,6107,15834,2503,13996,36901,7952,7569,3618,20247,7557
2017-Sep,36804,8691,54479,5918,3801,28656,3789,2122,26275,50736,256,4677,8534,2569,1658,20400,1129,10267,11488,24705,28103,6791,7474,775625,9029,40490,1058,24119,14519,113407,236,3293,163957,20747,2492,19693,12619,7497,2035,55008,46655,2084,6284,1785299,34280,7103,3499,17040,4545,7009,52162,17153,687188,0,13921,17168,4760,24672,10600,10819,17331,9724,31922,24146,3034,5512,41705,19605,6430,0,32107,6390,7968,6183,5672,5726,13412,59,4167,335683,7939,33746,4009,12833,174312,5261,13349,8999,307841,2954,8954,10399,5733,17054,6665,20318,12553,10167,4337,31912,46078,12779,27648,9092,7319,11036,4716,6064,15220,2751,13326,12914,7378,7301,2447,15941,8799
2017-Oct,38289,7596,47365,4292,3217,23425,1765,1432,23068,46388,59,4872,8831,2380,1646,21794,1760,10514,7452,23341,28188,7379,5813,179898,8684,38321,2633,21118,15416,82243,118,5351,139377,21623,3922,22174,13255,7366,3329,44029,41946,1972,7058,2165217,31684,6465,3801,13941,4639,7546,57402,5918,44780,0,12768,18492,4535,38170,13365,13191,9299,9595,38357,13429,2918,2528,37266,19973,6043,0,37746,6121,8322,7265,15328,6069,14227,0,4563,409813,4149,30500,5011,12407,116405,5113,8938,8808,338862,2762,6132,15558,6508,17527,8009,20443,11055,10879,5279,25177,23266,12948,23393,7379,7072,10392,5149,6379,17385,2939,13275,10517,6802,7310,4056,16686,8161
2017-Nov,95521,7434,43269,4855,3221,18457,2218,679,28539,43909,118,4637,10933,2633,2511,24645,1470,10592,8190,28057,28959,7467,5260,320149,8843,48279,1040,21957,13887,71976,182,3904,121176,21989,3843,26236,20176,7369,3563,39467,39387,3033,7381,1748226,31933,6088,4024,14344,9653,7399,55448,6097,35757,0,13247,19823,4347,42972,15406,12966,7765,11978,33571,19227,3781,3466,37253,21084,6809,0,36235,19268,9259,7367,8071,6002,13628,120,4499,260523,4119,32969,4123,14622,123201,4888,7391,7521,178742,3648,4738,9615,6320,17159,10122,19788,16807,10884,5110,20440,15390,12724,21037,6585,7257,10367,5211,6457,31430,3612,17382,11724,6947,7229,3504,15826,7606
2017-Dec,37084,6374,41361,4817,2364,29371,6633,1006,150214,47381,118,4617,12757,2198,2869,27111,987,11239,11440,31956,29517,7296,5780,208415,8382,76652,845,28616,15712,84667,1651,4244,157750,23196,3649,25267,18522,7020,4483,41043,30153,2667,6364,1663344,40118,6331,4711,17362,4783,7581,58044,7759,30028,0,12503,21912,4624,26622,15857,11942,9860,36354,40217,98116,4983,3121,35475,20618,6589,0,37707,7466,9375,7218,14484,12878,13287,122,4660,266044,4194,37168,5330,15665,142536,5200,7072,8956,132249,3457,4529,11913,6467,18826,9861,18096,17852,10958,5811,21351,17907,13190,19357,7310,7605,11195,5383,6496,31774,4092,18563,14089,8979,7428,3619,16414,8240
2018-Jan,33843,7253,35139,4079,2522,34212,11658,866,747884,48083,891,4310,11586,2255,6226,27454,733,9307,6520,23717,23237,6783,5780,199136,7556,77680,328,30516,11770,68654,3960,54788,187391,22804,3129,21994,16142,6436,2312,51289,34224,1696,6665,1424201,33512,8491,3119,16034,4585,8595,58182,6000,19078,0,10303,18344,4537,22492,9840,10149,6129,52278,68358,349842,4521,1975,33376,19458,7640,0,37889,7149,7501,7952,4948,7169,12525,122,4474,327511,1943,26563,4251,15606,81652,4796,6142,7782,77090,3178,5562,9071,6645,25206,11001,15992,19564,16243,20582,25370,37886,11939,27108,7197,8640,13061,5644,5966,16745,3335,13889,8628,8658,7731,7056,14790,6940
2018-Feb,22146,5972,30737,3038,1902,25686,6330,683,193829,102448,59,3794,7924,1110,1862,26209,631,6797,4638,16353,19497,4858,4850,617664,5461,3487844,318,20646,9746,54817,429,31535,113966,17521,1301,14705,11708,4545,366,35834,28929,760,5365,1183623,28965,5780,1707,9983,4353,7283,64112,3699,12069,0,11781,19429,3564,18564,7467,16782,4717,22590,38064,163703,2973,1192,29155,14583,3625,0,25268,14216,5637,5782,5577,4905,9260,2567,4313,310240,2003,23360,4171,9308,87605,4326,7784,7215,48318,2829,4330,8172,5223,18942,6988,15464,14418,9949,6193,32827,12892,8905,25594,5899,6324,9010,4459,4734,12041,1797,9894,6711,6359,6548,4097,11024,6438
2018-Mar,38310,7467,45445,3980,3176,20486,3943,882,72745,49734,0,4436,9420,1687,1648,50459,1341,11997,6985,27800,31604,7331,5335,163038,8156,97738,480,24567,12354,80472,182,5954,113428,21034,3738,41355,14581,7170,1827,41399,37517,2556,6951,1673949,30995,8132,4037,16819,4565,8332,81384,4917,13368,0,9527,25915,4752,24218,10504,20475,6472,18069,31270,118215,3504,2920,39812,36050,10228,332073,73347,7079,8968,7286,5217,5576,16014,895,4974,335346,2931,28191,5187,14102,214152,5358,8892,10037,88244,2630,5315,9348,6617,17601,7907,15966,18357,12462,4730,37058,20417,13995,30753,7666,7954,11548,5702,6025,29650,3364,14202,9000,7025,7976,4516,17689,11606
2018-Apr,38230,7807,37510,4393,3003,15224,2166,1764,36083,46467,183,4468,9844,2207,1794,465459,2085,11215,8424,28847,30818,6906,5021,181778,8739,46749,1060,23805,12368,67521,61,4352,89267,21536,3766,53095,15132,6447,2135,38932,38982,3204,6338,2130183,31954,8385,3432,16234,19396,7680,73570,5002,12362,0,8977,23447,4070,22180,12177,16577,6653,10816,16470,31225,2844,2478,48418,41904,10911,436303,46300,9358,9176,7547,5085,5634,17042,179,5055,308434,3170,29590,4904,12220,279298,5297,18079,10557,249483,3475,6831,9469,6752,16756,7751,13584,15526,10290,4615,32716,24145,12941,34637,7165,8635,10073,5532,6221,48202,4677,16374,9451,6882,7679,3798,18561,14708
2018-May,41424,8379,46554,7587,4500,13228,1423,1817,35442,55866,118,4376,9936,2899,2619,62441,1644,10326,9582,31182,34917,7497,5090,572150,10727,44733,942,25216,12206,71817,1055,5022,91659,25667,4197,45448,15773,6898,1903,45695,41164,3771,6734,1618295,35522,9024,4597,23843,5388,10254,80602,5462,11432,0,8975,27438,5780,28446,11354,17494,6973,10118,13301,24731,3181,2605,62053,32722,7695,146073,35031,11149,11429,7905,6018,6268,18354,248,5760,296573,2011,23811,4664,13324,1100794,5643,18761,10867,609253,3863,9761,11436,7602,18630,7528,14713,19780,10871,5102,62253,33204,13908,33226,7293,7108,11321,10078,6279,36903,4224,21988,9115,7093,8125,4711,23893,31915
2018-Jun,44596,8058,65761,96039,11669,12929,1879,811,32713,89240,635,3946,10320,2222,1626,45626,1659,9374,7465,33356,33227,7340,4890,210138,12193,51379,1245,24865,10308,66140,815,3471,88337,23420,4093,54431,14862,6813,3233,40206,48747,3627,6414,1670905,37120,13043,4660,22833,4709,10036,88172,5922,12497,0,9287,28747,4889,19736,10533,13442,6775,10014,11876,18838,3447,2589,49448,30896,7349,245626,31537,28348,9778,7470,5483,5972,15402,133,5391,280447,1773,20105,5133,13067,79669750,5586,9686,9347,688054,3106,13089,14999,7419,19095,7599,16006,17659,10733,4250,157613,44158,13087,28439,7094,7079,10564,8172,5977,34489,3891,14721,8539,7897,8085,3375,19717,945590
2018-Jul,32346,8740,38007,10160,4344,12102,543,2247,33130,67152,0,3940,9947,2881,1489,31139,978,9570,4920,27130,30199,6979,4781,163302,19016,37501,368,26878,9869,74298,1934,4548,74890,29085,3205,66554,15497,6194,1575,56373,49773,4547,6720,1580318,34431,12704,4304,25888,5399,9183,79772,8175,16636,0,10165,25327,5256,18888,8010,12110,6337,9120,17272,12179,3206,3340,51313,31160,6104,535050,36440,40353,7358,7039,5073,6145,11718,59,5119,459198,1562,19982,5251,12332,47940826,5768,12310,11179,618810,3587,22882,13763,7059,24046,9938,16276,16177,10293,4536,141250,53439,13647,31207,14703,7580,12472,7766,5442,29803,3456,13367,6653,7464,8717,4067,16295,497123
2018-Aug,32247,8666,31688,6077,3338,12670,1097,1211,32203,86184,0,4566,8931,2710,1823,22148,1155,8752,4207,25020,33277,6609,4559,208918,14754,43680,118,23632,9789,74155,2076,4537,96342,34737,2671,49383,12629,5893,847,51042,46156,3612,7052,1602799,32355,15330,4490,20060,5375,9358,87594,5935,10659,0,11643,29347,5462,17062,7661,13080,6177,9032,17981,15926,3065,4845,41221,32881,5982,300915,40590,21103,7283,7531,5576,5595,11258,59,5671,485893,2172,14878,6112,12367,294635,6102,22285,10962,377791,3739,15703,11087,6375,32141,10229,20927,17905,10654,4558,3350901,39265,13235,30728,10736,10613,11788,7042,5793,26039,2109,15256,5707,19884,8207,3023,15253,13492
2018-Sep,31413,9518,17802,5618,3438,13756,1953,950,30713,51001,59,3683,8688,2199,1812,14162,1307,7963,4588,25092,37648,6559,3895,329389,8682,46905,240,22274,9588,53729,946,14574,104968,25330,3336,58518,12184,6750,1436,84084,41618,3376,6721,1595976,21668,9696,3973,20950,4532,10364,82896,5231,7144,0,6960,26450,5655,22808,9286,8803,18307,9178,30041,12393,2482,5563,34208,30749,7508,295059,44190,39637,7986,7211,4784,5571,14169,59,5805,286761,2351,8243,4100,13190,92203,6583,14710,9155,354104,4098,9239,10042,6510,19540,9432,11832,14880,10925,4443,630284,31020,14119,27659,8077,6578,11660,6442,6177,21304,3563,13600,5883,14489,6879,3773,17764,8741
2018-Oct,33814,9516,41753,5388,3987,11557,2539,1730,34521,48433,489,4039,10022,1703,1378,29979,1321,9523,5454,26673,34693,7480,4014,166994,8379,57758,1192,24060,9940,82848,911,24262,128875,25207,3737,33957,14561,7105,3260,59845,46535,3234,6688,2393791,30733,10783,4770,18189,4638,9689,98394,4706,8908,406894,8591,38642,4545,18254,9993,10659,13402,10308,51628,12346,2948,3968,36731,25873,7190,140459,39928,17247,9241,7028,5193,6242,16381,1518,6249,434847,1996,18790,4365,12645,133910,9006,29792,12205,289435,3482,5735,9062,6963,20559,9709,12612,13912,15251,4903,58845,30349,14322,30706,9046,9727,12369,9220,6333,31557,4479,20744,6699,15067,7269,5661,18688,8847
2018-Nov,111486,8956,187737,5393,4532,11617,2783,1958,42071,45189,474,3525,12347,2661,2948,36147,920,8906,7186,26065,32173,7229,4077,681208,7471,41034,1269,28534,9969,61660,1107,4493,122786,26662,3686,30934,15544,7558,3167,40854,55389,3680,6539,1661267,33303,7411,4479,18114,4693,8402,72926,4635,9370,933418,8603,26319,5155,14608,10114,8366,7194,13180,61246,19438,4213,4855,37349,24639,6805,86264,38940,25167,10011,6118,5142,7806,15877,59,5150,391448,2047,25085,6572,14065,105555,9394,8791,9407,239098,3463,5285,7822,7056,25327,13650,14724,15180,13303,5518,46484,37950,14068,29934,9200,6428,11579,6242,6172,30034,4773,22101,8220,20577,7365,5424,17425,8356
2018-Dec,38696,8533,135298,5636,4219,17744,3426,1340,104771,37179,118,3797,14013,5178,3833,31836,922,8312,6864,24579,33058,7005,5126,442985,7435,43992,1060,30340,11123,66183,1472,4119,165457,25003,4186,33349,15302,6877,3762,63068,68568,3665,7285,3274300,36434,7068,4692,20577,4679,9128,80630,8807,9092,54821,8383,31321,5473,16126,11017,8385,6952,22663,45716,56472,3728,4394,41272,23094,6441,91994,4961835,29077,10291,5846,4316,6790,14985,240,5503,403086,1973,27867,4308,17975,101126,5334,11675,11227,225900,3281,5546,8367,7657,26132,14814,12880,24623,13050,7596,42095,102821,12817,30780,11397,8100,10916,6590,7344,39387,4824,20677,8725,22406,8493,4148,14963,8183
2019-Jan,29428,8470,31925,4426,2124,36512,5709,1480,657532,37262,0,3661,12264,2724,2404,31311,1087,7431,4264,19203,24098,6259,4120,166478,6827,45889,61,32021,9902,57747,808,3540,255121,23412,3424,19544,13471,5656,2642,38006,47383,1727,6697,2210582,33436,7087,3470,34565,5650,8601,57096,5656,7919,27285,8912,20551,5121,15878,8057,7362,5291,38830,69529,318697,4366,2779,37274,18112,6154,51665,961417,29733,7654,5224,3905,7084,12828,0,4692,396500,1506,19518,3781,14249,105064,4763,6427,17082,139824,3183,5476,8237,7273,21656,13087,13734,42880,13086,5302,40587,4889188,12414,27306,9248,6617,12016,6229,5611,19885,2577,13976,5677,21540,9698,3742,9993,7281
2019-Feb,33825,7840,22851,4283,1412,16955,3322,1442,270489,36794,59,3215,7756,1699,1781,30257,675,6196,3266,19226,20268,5125,3081,173771,5555,52548,181,27010,7831,55932,421,3236,170097,21212,1961,16148,9849,4227,983,31650,47278,1114,5685,2134779,30277,6121,2336,16228,5251,7263,45010,3494,5627,14988,8752,14510,4206,13440,6395,6705,4530,16649,27918,144362,3246,3360,47631,17280,3681,47981,500143,51823,5757,4742,3873,5102,11326,59,4062,335826,2050,15369,4984,10984,65403,3965,7022,16576,82971,2451,5393,6583,5641,21248,8233,12685,19626,11090,5518,29865,368218,10278,20609,7899,6450,8948,5107,4618,11436,1577,10159,4853,11926,7253,3241,9158,5919
2019-Mar,39224,9235,29410,5673,2796,13884,3437,877,197340,43687,630,4273,9690,5570,1389,255491,1736,8402,4891,31335,30496,6670,4277,141427,9188,42836,1398,30970,10505,66630,925,9978,185636,23935,3975,24844,12416,7445,2252,37216,52041,2841,6882,2393796,34638,7559,4311,24243,5485,8120,56350,5514,8441,23569,9195,18558,5501,24264,9721,8414,6027,19364,29548,111980,3384,4372,103653,21202,5749,43369,362332,98246,8366,6072,9380,6840,17249,59,5106,319596,2029,12129,5518,13610,80259,5902,11242,39656,131996,5318,6206,7770,7283,19924,9679,16622,25449,11964,4902,33964,19153,14593,27674,13412,7542,11086,9243,6271,16559,4667,12994,7028,10596,12462,17587,14640,8322
2019-Apr,39042,9715,31446,4889,3120,10628,2918,610,219200,41857,0,4153,10469,4802,1248,45259,1928,8697,4552,30133,27509,7375,4131,428827,13131,38418,2097,31820,11963,54330,482,4012,147933,24837,4196,22904,12231,7181,2830,44489,67856,4185,6611,2302244,37015,7205,4228,27545,4246,7417,51552,4894,8634,22625,8170,17124,5910,28178,10874,12538,6236,15426,20190,79862,3777,4785,158456,20910,5223,31888,139223,33556,8213,6432,5026,7200,16565,118,4885,299180,1857,9310,33125,13139,67365,7914,23120,229261,210034,3113,6999,7864,7261,20909,8175,14824,28106,12533,4452,35149,6620,12961,25923,12568,8257,9841,8953,6286,20522,4924,16510,7088,9660,14236,2857,17443,7256
2019-May,40991,10267,40345,4849,3765,9661,1353,1739,119251,54664,799,4123,10691,3686,1570,33048,2196,10100,5850,31878,30499,7129,4189,323410,13096,46010,1199,32045,13940,49473,997,5108,126208,26594,4097,134481,15482,7341,2976,38962,66294,8830,7351,4010603,38581,9473,4428,29619,4372,8080,67144,5388,8960,22008,9097,27737,6743,20968,11207,11194,6753,16160,15421,40376,2765,4110,121079,41653,6760,743665,717544,43426,9589,11169,5160,7578,16934,185,5566,416371,2428,10077,7122,14915,86345,8604,19692,273251,302869,3237,7086,7741,7427,27234,9540,15934,37886,12271,4721,35421,17780,12738,34723,13220,7649,10069,9331,6297,51940,4524,18222,7884,10337,8973,3500,22429,11868
2019-Jun,38750,9249,209591,5615,4708,9532,1027,809,79972,56037,730,4157,11150,2784,2572,38211,1366,8591,5211,29196,25349,6825,3708,2174771,15439,45099,639,29473,11842,44668,515,4508,72375,26477,4218,41403,14642,7000,2763,45738,55812,16558,7027,3210420,37239,7841,4637,26911,4199,7856,60800,5957,8766,19915,8705,25716,5656,22468,11104,11037,7100,14519,13206,38921,3080,4032,89276,30900,7694,193351,331873,72195,8340,10686,5487,6612,15738,0,5464,288136,2048,9596,5988,13057,181763,7060,9319,108564,389185,2957,10525,8458,6794,24580,9910,15366,73079,11959,4594,35788,36232,12649,35098,11198,14159,9082,9141,7331,45989,4289,19976,7843,8868,9266,3227,21129,17178
2019-Jul,31808,9492,50253,5050,3120,11837,1788,1309,61490,64044,177,4309,9431,3482,2333,26546,1805,7985,4382,25371,22762,6243,3784,581805,13167,40379,177,29917,10806,47204,181,3663,74879,21345,2961,21418,14586,6509,545,38695,49438,17157,7300,2130318,34107,6951,2889,27120,4210,7582,51154,5187,6451,32057,10092,18935,6784,22846,8464,11175,5895,11938,12036,16149,2560,4264,57261,23357,5205,52175,133825,87736,6734,8548,4940,5535,12473,0,4952,258206,1515,8607,5598,11764,100710,6230,52168,74386,303197,3282,9508,8602,5932,27637,7964,17553,71430,11702,4377,37320,17481,10917,27594,9320,11055,8316,7630,10607,19891,3339,11475,5453,13683,8815,3349,16382,12387
2019-Aug,29638,7540,31024,28725,7423,9723,1492,1909,49592,56199,814,3344,8745,4765,1735,23948,1251,7113,4045,24475,27553,6552,3710,248837,16739,38637,303,29298,9916,49906,870,3878,83588,26300,3001,52778,12598,6207,720,45702,46659,13241,6523,2178312,31924,12311,3223,24752,4527,8461,63124,4830,6333,43688,10500,23631,6247,16304,14133,11148,6166,9551,19381,11207,2134,4976,46437,24071,5119,96773,163565,539311,6892,7682,6323,5533,11700,281,6206,551692,2452,9712,10259,12225,115500,7014,25491,91396,186515,3585,11017,8793,5944,23935,8336,19014,42798,11321,4277,36999,4818,9885,27374,7376,12005,8491,7314,30919,20216,3384,11766,5769,12333,8238,2842,18972,14788
2019-Sep,31954,8133,24899,7133,3636,9394,1181,1804,53877,77365,61,3463,16708,2765,2013,22395,1004,7318,4219,22962,28310,6328,3008,333574,10857,49768,554,28118,10181,42030,301,3296,105399,20231,3696,31531,11109,7149,1379,35107,43861,7697,6522,2747281,24065,7738,3806,25307,3728,7050,49056,4405,6144,65198,7845,20342,5434,14792,9386,11335,17060,10747,36646,13590,2739,5205,38150,20911,6705,51693,418899,2936719,7928,7100,4351,5530,15552,0,5817,408267,1360,9707,6782,13809,552974,7343,33585,117150,138667,2920,4922,9423,5732,19360,7629,15611,33347,12157,4428,37702,11907,12828,22298,6632,8721,8573,6653,8926,14966,4004,10513,5849,9658,7609,3476,17946,38898
2019-Oct,56742,7940,23121,6113,3464,10677,2051,1162,58227,72273,59,2844,17672,4387,2670,28454,2185,8164,4931,25208,31581,6877,3141,544299,10182,69842,1148,24458,9728,46105,1060,4725,97277,17817,3578,20903,10579,7730,1928,37798,46303,6763,5823,1862865,27549,7398,4086,21414,6019,7632,64006,4475,6678,252419,12917,26076,5183,14990,11716,13463,8982,12083,49533,17829,2169,5306,38267,21908,6566,47899,496105,33272,8813,6978,5276,5241,17763,0,5813,318258,2420,12779,6649,13034,99078,8609,17375,61960,103081,3652,4448,7743,6204,22748,8173,24738,26616,19096,5494,40077,8226,15377,24726,6658,12040,8949,7322,8768,23704,5163,14545,8475,8980,7443,7680,20437,19549
2019-Nov,42009,7390,27223,4362,3193,11850,2738,738,82493,47141,1757,3397,13509,3488,2668,31294,860,8970,5490,29428,31450,6857,2786,218295,9352,50137,564,25156,9530,43426,478,3931,106119,18310,3857,21044,11536,7845,2600,39162,179915,6060,5800,1611676,25807,7171,4350,20791,5177,6805,61346,6107,12055,495862,9612,28378,5243,15576,14071,11803,8793,13866,24329,46438,3101,4530,43736,19780,6336,33585,147736,12579,9333,7381,5614,5402,17677,0,5247,327996,861,11459,6377,12008,79483,8815,6710,15035,159596,3466,4124,7737,6141,26646,9768,19365,30438,15399,5514,30559,15984,14815,22820,6578,6780,9192,7224,10256,24413,4846,14361,6853,8443,7425,3640,20805,14613
2019-Dec,37578,7382,23548,4692,3085,20237,8028,421,405813,52713,118,6175,16277,2302,2891,35060,1158,7676,6442,23828,26069,6864,2612,758195,8169,101652,734,29970,15418,39603,374,4470,153264,19997,4076,23944,17556,7431,3691,32004,64133,4677,5858,1814936,26854,7134,4489,21943,4020,6912,49076,4481,6737,43805,8869,23428,5247,19156,16692,15340,10355,27918,42829,346287,2914,4390,43195,18234,8099,35387,347986,9613,9043,8186,4291,6379,17181,59,5363,295087,1671,11471,6917,12616,37664,5896,7517,11789,68751,3843,3862,7703,6409,22848,9240,18587,35086,12820,5563,31939,24266,13806,21579,6644,6741,9093,7585,6236,34340,5099,14870,6979,10532,7705,4698,19230,11411
2020-Jan,23265,20060,13605,3902,2432,130088,6826,417,654543,50281,0,3282,16137,2009,4212,24423,663,5501,4714,166690,15925,5397,2772,306810,6403,72329,124,76675,8398,29254,315,5976,159882,37508,2603,12502,5909118,6127,2163,34834,393481,3428,6891,1085341,33218,6101,2095,23243,3412,6201,38098,2645,4526,16914,8516,15385,5898,14696,9549,14222,6251,52867,37083,348914,8139,3284,43583,13159,6264,22859,250503,7153,5708,6556,3806,11469,11955,59,3809,251654,1053,9584,12991,8891,15744,4823,5723,9408,51495,13646,3919,6518,5767,231560,8731,17470,35254,13797,8380,24545,26881,10284,24957,6177,5425,8096,6168,5070,17228,2324,10570,5387,44691,7049,11014,16340,8285
2020-Feb,24628,29693,14284,4067,2813,179147,6827,928,214759,102655,240,3343,24390,2045,4738,20511,545,7081,3841,485830,27340,5659,3025,805615,8583,56674,539,63871,9112,41114,1149,4551,95513,50399,2672,16259,4825353,5731,1295,47348,448771,4067,16637,1273576,38544,7369,2710,40942,3747,8548,66120,1735,4557,14253,10900,28537,7312,13842,8817,11645,6170,55641,32473,58002,7132,2567,47416,21402,4814,14728,94694,8992,7163,8662,5170,18872,19356,1086,5561,201436,995,11315,11534,11143,33538,5047,7061,6273,35874,18725,4137,6900,6844,236877,14894,21082,29272,18603,10735,25548,14986,19080,38426,7228,6928,7610,6504,5816,17840,2972,15591,6319,47676,7699,5422,28682,9367
2020-Mar,36950,19784,85149,11368,4309,119801,4905,668,69628,122677,306,4133,24678,2684,3585,26361,1405,8766,5205,101866,49182,8043,3861,207383,13020,52564,1097,35593,9913,56381,425,5342,54995,37525,4446,27239,1587814,6613,2521,45178,199144,4803,13009,1765946,37649,13870,4430,33024,4555,13263,230560,3468,5724,23155,12574,76980,6005,15156,11116,13917,6828,32047,23985,24584,4906,4120,52459,27989,6492,14888,116874,10301,13734,12339,5661,7752,30202,3945,15186,332470,851,11089,13771,19570,64156,6536,7824,9624,39147,7405,5339,7739,10635,78835,17954,25856,23464,16292,6207,33446,16395,19404,31030,9742,9463,11458,10739,7646,26511,4491,12119,6634,30622,8869,5498,30773,9487
2020-Apr,34342,14376,34109,5699,2151,51652,4229,301,41541,47639,59,3976,19665,3044,2427,20405,1047,9055,5065,55805,34436,7397,3487,192147,12795,49891,1279,30962,11494,48894,0,4546,45888,30583,4181,17941,737494,5880,2481,37422,121193,4440,10462,1624188,33563,10159,4193,36063,4297,7670,102600,3661,5583,19644,10272,49026,5986,16130,12788,12405,6615,18196,19168,15972,5403,4020,41813,24067,5439,11161,139029,8369,9817,10225,5741,6330,23935,177,7163,238716,546,10537,14886,33304,47466,5628,6001,15496,37894,7942,4768,6832,7281,44846,15083,23032,20271,16179,6218,28820,19762,15259,24417,9222,7424,9974,8710,6825,28103,5042,10897,6934,15316,8308,4357,25211,7746
